Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
116,38,6,1,2,Cosmetologyist,M,Good,11 cedis and above,3,Far,No,Average,Excellent,26,No,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
117,38,6,1,1,Cleaner,Low,Fair,2-5 cedis,1,very Far,No,Average,Good,30,No,Maybe,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
118,38,6,1,1,Pastor,M,Good,2-5 cedis,2,Far,No,Average,Average,26,Yes,Yes,Maybe,1 hour,Regularly,Not at all,Yes,Yes,No,,
119,38.7,6,1,1,Trader,M,Good,11 cedis and above,2,Close,Yes,Average,Average,25,No,No,Yes,less than an hour,Regularly,Not at all,Yes,Yes,No,,
120,38.7,6,0,2,Banker,M,Fair,11 cedis and above,3,Far,No,Average,Average,25,No,No,Maybe,1 hour,Irregularly,Sometimes,No,No,Yes,Debate,No
121,38.9,6,1,1,Administrator,high,Good,6-10 cedis,3,very Close,No,Excellent,Excellent,25,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,Yes,Sports,Maybe
122,38.9,6,1,1,Trader,M,Good,6-10 cedis,3,Far,No,Average,Good,25,Yes,No,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
123,39,6,0,1,Accountant,high,Good,11 cedis and above,3,very Far,Maybe,Excellent,Good,25,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
124,39.1,6,1,1,Teacher,M,Good,6-10 cedis,1,Far,No,Excellent,Excellent,25,Yes,Yes,Maybe,1 hour,Regularly,Not at all,Yes,No,No,,
125,39.4,6,1,2,Farmer,M,Fair,11 cedis and above,3,Far,Yes,Average,Average,25,Yes,Maybe,Yes,1 hour,Irregularly,Not at all,Yes,Yes,No,,
126,39.4,6,1,1,Welder,M,Good,6-10 cedis,2,Far,Maybe,Average,Good,58,Yes,Maybe,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
127,40,5,0,2, Engineer ,M,Good,6-10 cedis,3,Close,No,Average,Good,58,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
128,40,5,1,1,Doctor,Low,fair,2-5 cedis,1,Close,Yes,Average,Poor,57,Yes,Yes,Yes,less than an hour,regularly,Not at all,Yes,Yes,Yes,Sports,Yes
129,40.1,5,1,1,Teacher,Low,Good,11 and above,1,Far,Maybe,Excellent,Excellent,57,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,No,,
130,40.3,5,1,1,Driver,Low,Poor,2-5 cedis,2,Far,Yes,Average,Excellent,60,Maybe,No,Average,1 hour,regularly,Sometimes,Yes,No,Yes,Sports,Yes
131,40.8,5,1,1,Teacher,Low,fair,2-5 cedis,3,Far,Maybe,Excellent,Average,57,No,No,Yes,less than an hour,regularly,Not at all,Yes,Yes,Yes,Sports,Yes
132,41,5,0,1,Trader,M,fair,6-10 cedis,3,Far,No,Average,Excellent,66,No,Maybe,No,2 hours and above,Not at all,Sometimes,No,Yes,No,,
133,41,5,0,1,Trader,high,Good,2-5 cedis,2,very Far,Maybe,Average,Good,57,Yes,Yes,Yes,1 hour,irregularly,Not at all,Yes,Yes,No,,
134,41,5,0,1,Trader,M,Good,2-5 cedis,2,Close,Maybe,Average,Excellent,57,Yes,Yes,Yes,1 hour,regularly,Often,Yes,No,Yes,Sports,Yes
135,41,5,0,1,Trader,Low,Poor,2-5 cedis,2,very Far,No,Excellent,Average,60,No,Yes,Yes,less than an hour,regularly,Sometimes,Yes,No,No,,
136,41.5,5,0,1,Trader,Low,fair,6-10 cedis,2,Far,No,Average,Average,63,No,Yes,No,1 hour,regularly,Sometimes,Yes,No,Yes,Selling,Yes
137,41.6,5,0,2,Teacher,M,fair,6-10 cedis,2,very Close,No,Excellent,Excellent,56,Yes,Yes,Yes,1 hour,regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
138,41.6,5,0,1,Pastor,M,Good,2-5 cedis,2,Far,Maybe,Average,Excellent,60,No,Yes,Maybe,1 hour,irregularly,Not at all,Yes,No,Yes,Sports,No
139,41.6,5,0,2,Trader,M,fair,2-5 cedis,2,Far,No,Average,Average,59,Yes,Yes,Yes,1 hour,regularly,Often,No,Yes,Yes,Sports,Yes
140,41.9,5,0,2,Carpenter,M,fair,2-5 cedis,2,Far,No,Average,Excellent,59,Maybe,No,Yes,1 hour,regularly,Sometimes,Yes,No,No,,
141,42,5,0,1,Trader,M,Good,2-5 cedis,1,very Far,Yes,Excellent,Good,58,No,Yes,Yes,less than an hour,irregularly,Sometimes,Yes,Yes,Yes,Sports,Yes
142,42,5,0,1,Pastor,M,Good,6-10 cedis,2,Far,Maybe,Excellent,Excellent,60,No,Yes,No,1 hour,regularly,Sometimes,Yes,No,Yes,Sports,No
143,42.1,5,1,1,Hall Assistant,M,Good,2-5 cedis,3,Far,No,Excellent,Excellent,56,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,No,,
144,42.9,5,0,1,Pastor,M,Good,6-10 cedis,3,Far,No,Average,Excellent,60,No,Yes,No,1 hour,irregularly,Not at all,Yes,Yes,Yes,Sports,No
145,43,5,1,1,Cleaner,Low,fair,2-5 cedis,3,Far,Maybe,Average,Good,57,Maybe,Maybe,Yes,less than an hour,Not at all,Often,Yes,No,No,,
146,43,5,0,1,Doctor,high,Good,11 and above,2,Far,No,Average,Excellent,59,Maybe,No,Yes,1 hour,regularly,Not at all,Yes,Yes,Yes,Sports,Maybe
147,43,5,0,1,Trader ,high,Good,11 and above,3,very Far,No,Excellent,Excellent,58,Yes,Yes,Yes,2 hours and above,regularly,Sometimes,Yes,No,No,,
148,43.2,5,0,2,Trader,M,Good,2-5 cedis,3,very Close,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
149,43.2,5,1,2,Doctor,high,Good,6-10 cedis,3,very Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
150,43.3,5,1,2,Teacher,M,Good,6-10 cedis,3,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,less than an hour,regularly,Not at all,Yes,No,No,,
151,43.5,5,0,2,Clergy,M,Good,6-10 cedis,3,Far,No,Average,Good,26,Yes,Yes,Maybe,1 hour,regularly,Not at all,Yes,No,No,,
152,43.5,5,0,1,Businessman,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,26,Yes,Maybe,Yes,2 hours and above,regularly,Sometimes,Yes,No,No,,
153,43.6,5,0,1,Cashier,M,Good,6-10 cedis,3,Close,No,Average,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,No,,
154,43.7,5,1,1,Engineer,high,Good,6-10 cedis,3,Far,No,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Sometimes,Yes,Yes,No,,
155,43.9,5,1,2,Trader,Low,Good,11 and above,3,very Far,No,Average,Excellent,26,Maybe,Maybe,Maybe,less than an hour,Not at all,Not at all,Yes,Yes,No,,
156,44,5,0,1,Teacher,M,fair,2-5 cedis,3,Far,No,Average,Excellent,62,Maybe,No,Yes,1 hour,regularly,Sometimes,Yes,No,No,,
157,44,5,0,1,Banker,M,Good,2-5 cedis,2,Far,No,Average,Excellent,62,No,No,Yes,1 hour,regularly,Sometimes,No,No,Yes,Sports,Yes
158,44,5,0,1,Trader,M,Good,6-10 cedis,3,very Far,No,Average,Excellent,63,No,No,Yes,1 hour,irregularly,Sometimes,Yes,No,No,,
159,44.4,5,1,1,Doctor,high,fair,2-5 cedis,3,Far,Yes,Average,Excellent,52,Yes,Yes,Yes,less than an hour,irregularly,Not at all,No,No,No,,
160,44.5,5,0,1,Member of Parliament,high,Good,11 and above,3,Close,Maybe,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,No,Yes,Yes,Quiz,Maybe
161,44.7,5,0,1,AstroNomist,Low,fair,2-5 cedis,1,very Far,Maybe,Average,Excellent,27,No,Maybe,Maybe,less than an hour,irregularly,Sometimes,No,No,Yes,Sports,Maybe
162,44.7,5,1,1,Teacher,high,Good,11 and above,3,very Far,No,Average,Excellent,26,Yes,Maybe,Maybe,2 hours and above,regularly,Not at all,Yes,No,No,,
163,45.2,5,0,1,Entrepreneur,M,fair,11 and above,3,Far,No,Excellent,Excellent,26,Yes,Yes,No,2 hours and above,regularly,Sometimes,Yes,Yes,Yes,Music,No
164,45.3,5,1,1,Cashier,M,fair,11 and above,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
165,45.3,5,1,1,Trader,high,Good,11 and above,3,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,less than an hour,regularly,Not at all,Yes,Yes,No,,
166,45.4,5,1,1,Trader,M,fair,6-10 cedis,3,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
167,46.2,5,1,1,Auditor,high,Good,11 and above,3,Far,Maybe,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,irregularly,Sometimes,Yes,Yes,No,,
168,46.4,5,1,2,Lawyer,high,Good,11 and above,3,Far,No,Average,Average,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
169,46.6,5,0,1,Researcher,M,Good,11 and above,3,Close,No,Average,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Music,Yes
170,47,5,1,1,Public servant,M,Poor,6-10 cedis,3,Far,Maybe,Average,Good,26,Maybe,Maybe,No,1 hour,irregularly,Sometimes,No,Yes,No,,
171,47,5,1,1,Lecturer,high,Good,11 and above,3,Close,No,Excellent,Excellent,26,Yes,Maybe,Maybe,2 hours and above,regularly,Sometimes,Yes,Yes,Yes,Reading club,Yes
172,47,5,1,1,Accountant,M,Good,6-10 cedis,3,very Far,No,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,No,,
173,47.3,5,1,1,Teacher,M,Good,6-10 cedis,3,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Chaplaincy,No
174,47.3,5,1,2,Researcher,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
175,47.8,5,1,2,Lecturer,high,Good,11 and above,3,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
176,47.8,5,0,1,Educationalist,M,Good,11 and above,3,Far,No,Average,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,Yes,Trader,Maybe
177,47.9,5,1,2,Banker,M,Good,6-10 cedis,3,Far,No,Average,Average,26,Yes,Maybe,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
178,48,5,1,1,Trader,Low,fair,2-5 cedis,2,very Far,Yes,Average,Good,26,No,Maybe,Yes,less than an hour,regularly,Sometimes,Yes,No,No,,
179,48.1,5,1,1,Trader,M,Good,11 and above,3,Far,No,Average,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Sometimes,Yes,No,No,,
180,48.1,5,0,1,Pharmacist,M,Good,6-10 cedis,3,Close,No,Average,Good,26,Yes,Yes,Maybe,2 hours and above,irregularly,Not at all,Yes,Yes,No,,
181,48.6,5,1,1,Accountant,M,fair,6- 10 cedis,2,Far,Yes,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
182,49,5,0,2,Accountant,M,Good,6-10 cedis,3,Close,No,Excellent,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
183,49,5,0,2,Teacher,M,Good,2-5 cedis,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
184,49.9,5,1,1,Trader,M,Good,6-10 cedis,3,Far,Yes,Excellent,Excellent,26,Yes,Yes,Maybe,2 hours and above,regularly,Not at all,Yes,Yes,No,,
185,50,4,0,2,Teacher,high,Good,6-10 cedis,3,Close,No,Excellent,Excellent,26,Yes,Yes,No,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Music,Yes
186,50,4,0,2,Lawyer,high,fair,11 and above,3,Close,No,Excellent,Excellent,26,Yes,Yes,Maybe,1 hour,regularly,Sometimes,Yes,No,No,,
187,50.3,4,1,1,Pharmacist,high,fair,11 and above,3,Far,No,Average,Good,26,Yes,No,No,less than an hour,regularly,Not at all,No,Yes,No,,
188,50.4,4,1,1,Businessman,M,fair,11 and above,3,very Far,Maybe,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,Yes,Karate,
189,50.4,4,1,1,Engineer,M,Good,6-10 cedis,2,Far,No,Average,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Sometimes,Yes,No,No,,
190,50.4,4,0,2,Beautician,M,Good,11 and above,3,Far,No,Average,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Art,No
191,50.5,4,1,2,Lecturer,high,Good,6-10 cedis,3,Far,No,Average,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
192,51,4,1,2,Trader,M,Good,11 and above,3,Far,No,Excellent,Excellent,26,No,No,Yes,less than an hour,irregularly,Sometimes,Yes,No,Yes,Chaplaincy,Yes
193,51,4,1,1,Teacher,M,fair,11 and above,3,Close,No,Average,Good,26,Maybe,Yes,Yes,1 hour,irregularly,Not at all,Yes,Yes,No,,
194,51,4,0,2,Teacher,high,Good,11 and above,2,Close,No,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
195,51,4,1,2,Entrepreneur,M,Good,11 and above,3,very Far,Yes,Excellent,Excellent,26,No,Maybe,Yes,2 hours and above,regularly,Sometimes,Yes,No,Yes,Sports,Maybe
196,51,4,0,1,Banker,M,Good,6-10 cedis,3,very Close,No,Excellent,Good,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
197,51.1,4,1,1,Phamarcist,high,Good,11 and above,3,Far,Maybe,Average,Good,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
198,51.3,4,1,1,Doctor,high,Good,11 and above,3,Far,Maybe,Average,Good,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
199,51.5,4,0,2,Trader,M,Good,11 and above,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
200,51.8,4,0,1,Beautician,M,Good,6-10 cedis,3,Far,No,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Sometimes,Yes,No,No,,
201,52,4,1,2,Mechanic,M,Good,6-10 cedis,2,Far,No,Average,Excellent,26,Yes,Maybe,Yes,2 hours and above,Not at all,Not at all,Yes,No,No,,
202,52,4,1,1,Trader,Low,Poor,2-5 cedis,2,Far,No,Average,Good,26,Yes,Maybe,Maybe,less than an hour,irregularly,Sometimes,No,No,No,,
203,52.1,4,0,2,Teacher,M,Poor,2-5 cedis,2,very Far,Maybe,Excellent,Good,26,Yes,No,Yes,2 hours and above,regularly,Sometimes,Yes,Yes,Yes,Selling,No
204,52.4,4,1,1,Teacher,M,Good,6-10 cedis,3,very Far,No,Excellent,Excellent,26,No,No,Yes,2 hours and above,regularly,Sometimes,Yes,Yes,Yes,Sports,
205,52.6,4,0,1,Architect,high,Good,11 and above,3,Far,Maybe,Excellent,Excellent,26,Yes,Yes,Yes,less than an hour,regularly,Not at all,Yes,Yes,No,,
206,52.7,4,1,2,Trader,M,fair,11 and above,2,very Far,Yes,Average,Excellent,26,Maybe,Yes,Yes,1 hour,regularly,Not at all,No,Yes,No,,
207,52.7,4,1,2,Teacher,M,Good,2-5 cedis,3,Far,No,Excellent,Good,26,Yes,Yes,Yes,1 hour,regularly,Sometimes,Yes,Yes,No,,
208,52.9,4,1,1,Lawyer,high,Good,11 and above,3,Far,No,Average,Good,26,Yes,No,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
209,53,4,1,1,Trader,Low,Poor,2-5 cedis,1,Close,Maybe,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,Yes,Sports,No
210,53.4,4,1,1,Banker,M,Good,6-10 cedis,3,Far,No,Excellent,Good,26,Yes,Yes,Yes,less than an hour,regularly,Not at all,Yes,Yes,No,,
211,53.5,4,1,1,Teacher,M,Good,6-10 cedis,3,very Far,Maybe,Excellent,Excellent,26,Yes,Yes,Maybe,1 hour,regularly,Not at all,Yes,Yes,Yes,Sports,No
212,53.5,4,1,2,Trader,Low,fair,2-5 cedis,1,very Far,No,Excellent,Good,26,Yes,Yes,Yes,2 hours and above,irregularly,Sometimes,Yes,Yes,No,,
213,53.5,4,0,1,Businessman,Low,fair,6-10 cedis,2,Far,No,Excellent,Excellent,26,Yes,Maybe,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
214,53.8,4,0,1,Trader,Low,Good,6-10 cedis,3,Far,No,Excellent,Excellent,26,Yes,Maybe,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
215,53.9,4,1,1,Banker,high,Good,11 and above,3,very Far,No,Excellent,Average,26,Yes,No,Yes,1 hour,irregularly,Not at all,Yes,Yes,No,,
216,54.1,4,1,2,Trader ,Low,fair,2-5 cedis,1,very Far,Maybe,Poor,Average,26,No,No,Maybe,less than an hour,Not at all,Often,Yes,No,No,,
217,54.3,4,0,1,Lab Technician,M,Good,6-10 cedis,2,Close,No,Excellent,Excellent,26,Yes,Maybe,Maybe,1 hour,regularly,Not at all,Yes,Yes,No,,
218,54.6,4,1,1,Teacher,M,Good,2-5 cedis,3,Close,No,Average,Average,26,Yes,Yes,Maybe,1 hour,regularly,Not at all,Yes,Yes,No,,
219,54.6,4,1,2,Businessman,Low,fair,2-5 cedis,1,very Far,Maybe,Poor,Average,26,No,No,Maybe,less than an hour,irregularly,Often,Yes,Yes,No,,
220,54.8,4,0,2,Constructor,M,Good,2-5 cedis,2,Close,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
221,55,4,0,1,Artist,M,Good,6-10 cedis,2,Far,No,Average,Good,25,Yes,Yes,No,1 hour,regularly,Not at all,Yes,No,No,,
222,55,4,0,1,Trader,M,Good,6-10 cedis,2,Far,No,Average,Good,35,Maybe,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
223,55.6,4,0,1,Trader ,M,fair,6.0 10,3,Far,No,Average,Average,35,Yes,Yes,Maybe,less than an hour,regularly,Not at all,No,Yes,Yes,Dance club,Maybe
224,55.7,4,0,2,Pharmacist,high,Good,11 and above,3,Close,No,Excellent,Good,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
225,55.8,4,0,2,Adminstrator,M,fair,6-10 cedis,2,Far,No,Excellent,Good,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
226,55.8,4,0,2,Auditor,M,Good,6-10 cedis,3,Far,No,Excellent,Good,35,Maybe,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
227,56,4,0,1,TranSports Officer,high,Good,6-10 cedis,3,Close,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
228,56,4,0,1,Teacher,M,Good,6-10 cedis,3,Close,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Sometimes,Yes,Yes,No,,
229,56.2,4,1,1,Lecturer,high,Good,11 and above,3,Close,No,Excellent,Good,35,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,Yes,Chaplaincy,No
230,56.3,4,1,2,Businessman,M,fair,6-10 cedis,3,Close,Maybe,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,Yes,"Sports, Music",Yes
231,56.6,4,0,2,Banker,M,Good,6-10 cedis,3,very Close,No,Excellent,Average,35,Yes,Maybe,Yes,2 hours and above,regularly,Sometimes,Yes,Yes,Yes,Sports,No
232,56.6,4,0,1,Pilot,high,Good,11 and above,3,Far,No,Average,Excellent,35,Yes,Yes,Maybe,1 hour,regularly,Not at all,Yes,No,No,,
233,57,4,0,2,Mechanic,M,fair,6-10 cedis,2,Far,Maybe,Average,Excellent,35,Yes,Yes,Maybe,less than an hour,regularly,Not at all,Yes,Yes,No,,
234,57.2,4,0,1,Adminstrator,high,Good,11 and above,3,Far,No,Average,Good,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Quiz,No
235,57.4,4,0,1,Businessman,high,Good,11 and above,3,Far,No,Excellent,Good,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
236,57.7,4,0,2,Adminstrator,high,Good,11 and above,3,Far,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Sports,No
237,57.7,4,0,1,Lecturer,high,Good,6-10 cedis,3,Far,No,Average,Good,35,Maybe,Maybe,Maybe,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Music,Maybe
238,58,4,0,1,Lecturer,high,fair,6-10 cedis,2,very Close,Yes,Excellent,Good,35,Yes,Yes,No,2 hours and above,regularly,Not at all,Yes,Yes,No,,
239,58.3,4,0,2,Nurse,high,Good,11 and above,3,Far,No,Average,Good,35,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,No,No,,
240,58.4,4,0,2,Banker,M,Good,6-10 cedis,3,Far,No,Average,Average,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,Yes,Music,
241,58.4,4,1,1,Lecturer,high,Good,6-10 cedis,3,Far,Maybe,Excellent,Good,35,Yes,Yes,Yes,2 hours and above,Not at all,Not at all,Yes,No,No,,
242,58.6,4,1,2,Trader,M,Good,6-10 cedis,2,Far,Maybe,Excellent,Good,35,Yes,Yes,Yes,1 hour,regularly,Not at all,Yes,Yes,No,,
243,58.9,4,0,1,Lecturer,high,Good,11 and above,3,Far,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
244,58.9,4,0,2,Farmer,M,Good,6-10 cedis,2,Far,No,Excellent,Good,35,Yes,Yes,Yes,less than an hour,regularly,Sometimes,Yes,No,No,,
245,59,4,0,2,Accountant,high,Good,11 and above,3,Far,No,Excellent,Excellent,35,Maybe,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,Yes,Sports ,
246,59.1,4,1,2,Businessman,M,Good,2-5 cedis,2,Far,No,Average,Good,35,Yes,Yes,Maybe,1 hour,regularly,Not at all,Yes,Yes,No,,
247,59.1,4,0,1,Trader,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,35,Yes,No,No,2 hours and above,regularly,Not at all,Yes,Yes,No,,
248,59.3,4,0,2,Businessman,high,Good,6-10 cedis,3,Far,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
249,59.4,4,0,1,Pastor,M,Good,6-10 cedis,2,Close,No,Excellent,Excellent,35,Yes,Yes,Maybe,1 hour,regularly,Sometimes,Yes,Yes,No,,
250,59.6,4,0,1,Driver,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
251,59.8,4,0,2,Teacher,M,Good,11 and above,3,very Far,Maybe,Average,Good,35,Yes,Maybe,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
252,59.9,4,0,1,Accountant,high,Good,11 and above,3,Close,No,Excellent,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,Yes,No,,
253,60,4,0,1,Police,high,Good,11 and above,3,Far,No,Excellent,Excellent,35,Yes,Yes,No,2 hours and above,regularly,Not at all,Yes,Yes,No,,
254,60.2,4,0,1,Businessman,M,Good,11 and above,3,Far,No,Average,Excellent,35,Yes,Yes,Yes,2 hours and above,regularly,Not at all,Yes,No,No,,
255,60.2,4,0,1,Dress Maker,M,Good,6-10 cedis,3,Close,No,Excellent,Excellent,35,Yes,Maybe,Yes,2 hours and above,irregularly,Sometimes,Yes,No,No,,
256,60.5,4,0,3,Trader,M ,Fair,6-10 cedis,3,very Far                                                      Commercial vehicle,Maybe,Average,Good,39,Yes,Yes,Maybe,1 hour,Regularly,Not at all,Yes,Yes,No,,
257,60.5,4,1,1,Trader,M ,Fair,6-10 cedis,3,Far                                                                 Foot,No,Poor,Average,56,No,Maybe,Yes,2 hours above,Regularly,Not at all,No,Yes,No,,
258,60.5,4,0,1,Teacher,M ,Good,6-10 cedis,2,Very Far                                                      Guardian's car,Yes,Excellent,Good,61,Yes,No,Yes,1 hour,Regularly,Sometimes,No,No,No,,
259,60.7,4,0,2,Entrepreneur,M ,Good,6-10 cedis,2,Far                                                                 Commercial vehicle,No,Excellent,Good,54,Yes,Yes,Yes,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,Music,No
260,61,4,0,2,Lawyer,high,Good,11 cedis and above,3, Far                                                                 Commercial vehicle,No,Excellent,Good,35,No,No,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
261,61.1,4,1,1,Blacksmith,high,Good,2-5 cedis cedis,3,Very Close                                                    Foot,No,Excellent,Good,54,Yes,No,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
262,61.2,4,1,1,Driver,M ,Good,6-10 cedis,2,Very Far                                                          Foot,No,Average,Good,60,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
263,61.5,4,1,1,Trader,M ,Fair,6-10 cedis,3,Close                                                               Foot,No,Excellent,Excellent,56,Yes,Yes,Yes,2 hours above,Regularly,Often,Yes,No,Yes,Sports,Yes
264,61.7,4,1,1,Teacher,M ,Good,6-10 cedis,2,Very Far                                                        Commercial vehicle,No,Average,Excellent,62,No,Yes,No,1 hour,Regularly,Often,Yes,Yes,No,,
265,61.8,4,1,1,Teacher,M ,Good,2-5 cedis cedis,3,Far                                                                   Foot,No,Excellent,Excellent,49,Maybe,Yes,Maybe,1 hour,Regularly,Not at all,No,No,No,,
266,62,4,0,2,Carpenter,high,Good,6-10 cedis,3,Very Close                                                    Foot,No,Excellent,Good,58,Maybe,No,Yes,2 hours above,Regularly,Sometimes,Yes,Yes,No,,
267,62.1,4,1,1,Pastor,M ,Good,2-5 cedis cedis,2,Close                                                               Foot,No,Excellent,Average,35,Yes,Maybe,No,Less than an hour,Regularly,Sometimes,Yes,No,Yes,Sports,Yes
268,62.1,4,1,1,Trader,high,Good,6-10 cedis,3,Close                                                               Foot,No,Excellent,Good,36,Yes,No,Yes,1 hour,Regularly,Not at all,Yes,No,Yes,Sports,Yes
269,62.5,4,0,1,Trader,M ,Good,2-5 cedis cedis,3,Far                                                                     Guardian's car,No,Excellent,Good,32,No,No,Yes,2 hours above,Regularly,Often,No,Yes,No,,
270,62.7,4,0,1,Farmer,Low,Fair,2-5 cedis cedis,2,Far                                                                     Foot,No,Excellent,Good,32,No,No,No,Less than an hour,Regularly,Sometimes,No,No,Yes,Quiz,No
271,62.8,4,0,1,Carpenter,M ,Good,6-10 cedis,3,Far                                                                     Commercial vehicle,No,Average,Good,32,Yes,No,No,Less than an hour,Irregularly,Often,Yes,No,Yes,Debate,No
